 1.0000000     0.0
 0.9568846     0.0071527
 0.8667697     0.0185360
 0.7733072     0.0291404
 0.6797046     0.0385846
 0.5862208     0.0467497
 0.4930960     0.0533707
 0.4006337     0.0580064
 0.3092910     0.0599973
 0.2199335     0.0583834
 0.1349631     0.0517972
 0.0650778     0.0396769
 0.0265895     0.0268919
 0.0086825     0.0159278
 0.0008829     0.0052269
 0.0008829    -0.0052269
 0.0086825    -0.0159278
 0.0265895    -0.0268919
 0.0650778    -0.0396769
 0.1349631    -0.0517972
 0.2199335    -0.0583834
 0.3092910    -0.0599973
 0.4006337    -0.0580064
 0.4930960    -0.0533707
 0.5862208    -0.0467497
 0.6797046    -0.0385846
 0.7733072    -0.0291404
 0.8667697    -0.0185360
 0.9568846    -0.0071527
