 1.0000000     0.0
 0.9828093     0.0036454
 0.9468519     0.0084811
 0.9011620     0.0143334
 0.8546569     0.0199769
 0.8092313     0.0252031
 0.7627451     0.0302655
 0.7153871     0.0351261
 0.6682984     0.0396522
 0.6214720     0.0438322
 0.5746681     0.0476603
 0.5279434     0.0510941
 0.4814122     0.0540750
 0.4351121     0.0565423
 0.3891056     0.0584177
 0.3435108     0.0596116
 0.2983726     0.0600179
 0.2537066     0.0595057
 0.2100206     0.0579173
 0.1682252     0.0551370
 0.1285178     0.0510151
 0.0915255     0.0453636
 0.0620261     0.0389084
 0.0412437     0.0327310
 0.0270161     0.0270855
 0.0169628     0.0219088
 0.0098587     0.0169278
 0.0048884     0.0121238
 0.0017495     0.0073950
 0.0002609     0.0025082
 0.0002609    -0.0025082
 0.0017495    -0.0073950
 0.0048884    -0.0121238
 0.0098587    -0.0169278
 0.0169628    -0.0219088
 0.0270161    -0.0270855
 0.0412437    -0.0327310
 0.0620261    -0.0389084
 0.0915255    -0.0453636
 0.1285178    -0.0510151
 0.1682252    -0.0551370
 0.2100206    -0.0579173
 0.2537066    -0.0595057
 0.2983726    -0.0600179
 0.3435108    -0.0596116
 0.3891056    -0.0584177
 0.4351121    -0.0565423
 0.4814122    -0.0540750
 0.5279434    -0.0510941
 0.5746681    -0.0476603
 0.6214720    -0.0438322
 0.6682984    -0.0396522
 0.7153871    -0.0351261
 0.7627451    -0.0302655
 0.8092313    -0.0252031
 0.8546569    -0.0199769
 0.9011620    -0.0143334
 0.9468519    -0.0084811
 0.9828093    -0.0036454
